,Ayrshire cattle,Brown Swiss cattle,Holstein Friesian cattle,Jersey cattle,Red Dane cattle
Ayrshire cattle,28,2,1,0,0
Brown Swiss cattle,0,45,0,0,0
Holstein Friesian cattle,1,0,39,1,0
Jersey cattle,0,1,0,33,0
Red Dane cattle,0,1,0,2,27
