,precision,recall,f1-score,support
Ayrshire cattle,0.9615384615384616,0.8064516129032258,0.8771929824561403,31.0
Brown Swiss cattle,0.8333333333333334,0.8888888888888888,0.8602150537634409,45.0
Holstein Friesian cattle,0.9743589743589743,0.926829268292683,0.95,41.0
Jersey cattle,0.8846153846153846,0.6764705882352942,0.7666666666666667,34.0
Red Dane cattle,0.6904761904761905,0.9666666666666667,0.8055555555555556,30.0
accuracy,0.856353591160221,0.856353591160221,0.856353591160221,0.856353591160221
macro avg,0.8688644688644688,0.8530614049973517,0.8519260516883607,181.0
weighted avg,0.8731912654564588,0.856353591160221,0.8568286917614835,181.0
