,precision,recall,f1-score,support
Ayrshire cattle,0.55,0.7096774193548387,0.6197183098591549,31.0
Brown Swiss cattle,0.6875,0.4888888888888889,0.5714285714285714,45.0
Holstein Friesian cattle,0.7551020408163265,0.9024390243902439,0.8222222222222222,41.0
Jersey cattle,0.46153846153846156,0.5294117647058824,0.4931506849315068,34.0
Red Dane cattle,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
accuracy,0.6408839779005525,0.6408839779005525,0.6408839779005525,0.6408839779005525
macro avg,0.6527328623757196,0.6394167528013041,0.6346372910216244,181.0
weighted avg,0.6570425726601733,0.6408839779005525,0.6375899873961429,181.0
