,precision,recall,f1-score,support
Ayrshire cattle,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
Brown Swiss cattle,0.9183673469387755,1.0,0.9574468085106383,45.0
Holstein Friesian cattle,0.975,0.9512195121951219,0.9629629629629629,41.0
Jersey cattle,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0
Red Dane cattle,1.0,0.9,0.9473684210526315,30.0
accuracy,0.9502762430939227,0.9502762430939227,0.9502762430939227,0.9502762430939227
macro avg,0.9551102509969505,0.9450067107881706,0.9487937337433419,181.0
weighted avg,0.952481943434642,0.9502762430939227,0.9501553408094772,181.0
