,Ayrshire cattle,Brown Swiss cattle,Holstein Friesian cattle,Jersey cattle,Red Dane cattle
Ayrshire cattle,25,1,1,2,2
Brown Swiss cattle,0,40,0,0,5
Holstein Friesian cattle,1,0,38,1,1
Jersey cattle,0,6,0,23,5
Red Dane cattle,0,1,0,0,29
